,year,selling_price,km_driven,mileage,engine,max_power,fuel_Petrol,seller_type_Individual,transmission_Manual,owner_Second Owner,owner_Third and above owners,seat_category_more than 5
107,2017,866000,37800,17.0,1591.0,121.3,True,True,True,False,False,False
108,2010,700000,114000,14.3,1798.0,160.0,True,True,True,False,False,False
109,2010,300000,48000,15.8,1172.0,65.0,True,True,True,False,False,False
111,2016,375000,100000,19.09,1405.0,69.01,False,True,True,False,False,False
112,2013,522000,150000,22.32,1582.0,126.32,False,True,True,True,False,False
113,2013,451999,69000,21.9,1396.0,88.76,False,True,True,False,False,False
114,2009,300000,100000,14.53,1798.0,138.1,True,True,True,True,False,False
115,2020,475000,13000,21.63,998.0,67.04,True,True,True,False,False,False
116,2016,780000,60000,24.3,1248.0,88.5,False,True,True,False,False,False
117,2017,595000,40000,20.85,1197.0,83.14,True,True,True,False,False,False
118,2017,440000,35000,20.51,998.0,67.04,True,True,True,False,False,False
120,2014,400000,70000,20.45,1461.0,83.8,False,True,True,False,True,False
121,2016,1140000,50000,19.67,1582.0,126.2,False,True,True,False,False,False
122,2017,850000,76139,23.0,1498.0,98.96,False,True,True,False,False,False
123,2012,370000,175000,19.3,1248.0,73.9,False,True,True,False,True,False
124,2018,350000,25000,23.01,999.0,67.0,True,True,True,False,False,False
125,2015,360000,40000,23.1,998.0,67.04,True,True,True,True,False,False
126,2008,105000,65000,19.7,796.0,46.3,True,True,True,False,True,False
127,2013,625000,90000,20.77,1248.0,88.76,False,True,True,True,False,True
128,2009,135000,80000,17.92,1086.0,62.1,True,True,True,True,False,False
129,2015,700000,110000,20.77,1248.0,88.76,False,True,True,True,False,True
130,2019,690000,1303,17.8,1198.0,86.7,True,False,True,False,False,False
143,2017,795000,41000,18.0,1497.0,117.6,True,False,False,False,False,False
144,2013,625000,39000,14.28,1798.0,138.03,True,False,False,False,False,False
147,2015,535000,40000,26.21,1248.0,88.5,False,False,True,False,False,False
149,2010,975000,72200,10.8,2497.0,150.0,True,False,False,True,False,False
150,2016,805000,49900,16.3,1797.0,147.5,True,False,True,False,False,False
152,2018,811000,11000,17.0,1198.0,108.5,True,False,True,False,False,False
153,2011,375000,49000,15.04,1598.0,103.6,True,True,True,False,False,False
154,2012,550000,95000,16.3,1797.0,147.5,True,True,True,False,False,False
155,2016,645000,11000,14.3,1598.0,103.5,True,False,False,False,False,False
157,2014,599000,46100,16.02,1373.0,93.7,True,False,True,False,False,True
159,2017,875000,18000,15.6,1497.0,116.3,True,False,False,False,False,False
160,2019,894999,9654,19.56,1197.0,81.8,True,False,False,False,False,False
161,2011,175000,11000,23.95,998.0,67.05,True,False,True,False,False,False
162,2012,340000,24300,21.21,1197.0,81.8,True,False,True,False,False,False
164,2018,1025000,8000,21.5,1497.0,108.5,False,False,False,False,False,False
168,2009,450000,71000,12.1,2362.0,164.7,True,False,False,False,False,False
169,2016,850000,20000,17.5,1373.0,91.1,True,True,True,False,False,True
171,2011,300000,100000,20.54,1598.0,103.6,False,True,True,True,False,False
172,2018,575000,9500,18.16,1196.0,86.8,True,True,True,False,False,False
173,2011,160000,120000,20.0,1399.0,68.0,False,True,True,False,False,False
174,2015,515000,36600,20.4,1197.0,81.8,True,True,True,False,False,False
175,2015,390000,50000,20.51,998.0,67.0,True,True,False,True,False,False
176,2016,550000,14000,18.6,1197.0,81.83,True,True,True,True,False,False
178,2010,220000,120000,21.1,1248.0,73.9,False,True,True,False,False,False
179,2015,425000,70000,18.9,1197.0,82.0,True,True,True,False,False,False
180,2019,480000,13000,19.44,999.0,75.0,True,True,True,False,False,False
181,2014,400000,60000,18.9,1197.0,82.0,True,True,True,True,False,False
182,2014,487000,35000,19.1,1197.0,85.8,True,True,True,False,False,False
183,2016,386000,44000,19.1,1197.0,82.0,True,True,True,True,False,False
184,2005,100000,120000,13.0,1493.0,100.0,True,True,True,True,False,False
185,2010,300000,60000,21.43,1364.0,87.2,False,True,True,False,False,False
188,2016,450000,15000,18.15,1198.0,82.0,True,True,True,True,False,True
189,2017,490000,90000,22.95,1248.0,74.0,False,True,True,False,False,False
190,2009,345000,47000,17.0,1497.0,118.0,True,True,True,True,False,False
191,2005,85000,90000,17.3,993.0,60.0,True,True,True,False,False,False
192,2010,215000,120600,18.9,998.0,67.1,True,True,True,True,False,False
193,2010,320000,100000,16.2,1599.0,103.2,True,True,True,False,True,False
194,2016,459999,60000,20.85,1197.0,83.14,True,True,True,True,False,False
195,2005,65000,86000,15.3,1341.0,83.0,True,True,True,False,False,False
196,2020,720000,5000,18.6,1197.0,81.86,True,True,True,False,False,False
197,2017,800000,37000,28.09,1248.0,88.5,False,True,True,False,False,False
198,2019,520000,14000,20.3,1199.0,84.0,True,True,True,False,False,False
199,2015,580000,70000,20.77,1248.0,88.76,False,True,True,False,False,True
201,2015,600000,50000,17.4,1497.0,117.3,True,True,True,False,False,False
202,2014,290000,60000,19.4,1198.0,86.8,True,True,True,True,False,False
204,2017,550000,50000,20.85,1197.0,83.14,True,True,True,False,False,False
205,2013,375000,70000,18.5,1197.0,82.85,True,True,True,False,False,False
207,2018,420000,35000,20.51,998.0,67.0,True,True,False,False,False,False
208,2017,550000,20000,21.21,1197.0,81.8,True,True,True,False,False,False
209,2018,270000,20000,24.7,796.0,47.3,True,True,True,False,False,False
210,2018,700000,7800,22.0,1197.0,81.8,True,True,False,False,False,False
211,2017,500000,20000,20.4,1197.0,81.8,True,True,True,False,False,False
212,2019,1250000,15000,17.6,2179.0,147.94,False,True,True,False,False,True
213,2013,320000,31377,18.5,1197.0,82.85,True,True,True,True,False,False
214,2018,700000,50000,28.4,1248.0,74.02,False,True,True,False,False,False
215,2015,290000,60000,20.51,998.0,67.04,True,True,True,False,False,False
216,2012,550000,100000,14.53,1794.0,138.1,True,True,False,False,False,False
217,2012,265000,60000,19.4,1198.0,86.8,True,True,True,False,False,False
218,2018,830000,5000,21.4,1197.0,83.1,True,True,False,False,False,False
219,2017,800000,60000,14.1,2179.0,147.94,False,True,True,False,False,True
220,2011,160000,25000,19.7,796.0,46.3,True,True,True,True,False,False
221,2018,335000,30000,25.17,799.0,53.3,True,True,True,False,False,False
222,2017,329000,80000,20.63,1198.0,67.0,True,True,True,True,False,False
223,2017,775000,75000,24.3,1248.0,88.5,False,True,True,False,False,False
224,2020,524000,32000,20.14,1197.0,81.86,True,True,True,False,False,False
225,2015,245000,40000,22.74,796.0,47.3,True,True,True,False,False,False
226,2012,275000,93000,17.0,1197.0,80.0,True,True,True,True,False,False
227,2018,520000,60000,17.57,1193.0,88.7,True,True,True,False,False,False
229,2014,550000,37000,16.95,1498.0,97.7,True,True,True,False,False,False
230,2018,910000,15000,17.0,1497.0,121.36,True,True,True,False,False,False
231,2015,300000,80000,19.49,1198.0,67.04,True,True,True,False,False,False
232,2016,350000,140000,20.51,998.0,67.04,True,True,True,False,False,False
233,2013,900000,70000,12.83,2696.0,162.0,False,True,True,False,False,True
234,2013,300000,120000,17.21,1493.0,100.0,False,True,True,True,False,True
235,2010,250000,110000,21.1,1248.0,73.9,False,True,True,True,False,False
236,2017,1100000,37000,19.67,1582.0,126.2,False,True,True,False,False,False
237,2016,270000,44000,25.17,799.0,53.3,True,True,True,False,False,False
238,2015,640000,80000,20.77,1248.0,88.76,False,True,True,False,False,True
239,2015,650000,125000,15.1,2179.0,140.0,False,True,True,False,False,True
240,2017,409999,13500,15.37,1196.0,73.0,True,True,True,False,False,False
241,2011,165000,75000,17.92,1086.0,62.1,True,True,True,False,False,False
242,2007,80000,120000,13.2,1495.0,94.0,True,True,True,True,False,False
243,2012,535000,120000,15.1,2179.0,140.0,False,True,True,False,False,True
244,2013,700000,70000,12.99,2494.0,100.57,False,True,True,False,False,True
245,2013,550000,70000,23.4,1248.0,74.0,False,True,True,False,False,False
246,2019,680000,15000,19.0,1199.0,88.76,True,True,False,False,False,False
247,2009,200000,53000,20.36,1197.0,78.9,True,True,True,True,False,False
248,2014,500000,120000,23.4,1248.0,74.0,False,True,True,True,False,False
249,2016,1000000,70000,24.52,1248.0,88.5,False,True,True,False,False,True
250,2008,110000,120000,14.2,1341.0,82.9,True,True,True,True,False,False
251,2012,320000,100000,18.5,1197.0,80.0,True,True,True,True,False,False
253,2015,350000,100000,20.4,1197.0,83.11,True,True,True,False,False,False
254,2013,170000,162500,19.4,1405.0,70.0,False,True,True,False,False,False
255,2017,800000,39000,22.54,1396.0,88.73,False,True,True,False,False,False
256,2017,500000,75000,26.8,1248.0,74.0,False,True,True,False,False,False
259,2013,530000,92500,22.32,1582.0,126.3,False,True,True,False,False,False
260,2012,360000,158000,23.4,1248.0,74.0,False,True,True,False,False,False
261,2012,310000,120000,19.3,1248.0,73.9,False,True,True,False,False,False
262,2015,725000,50000,26.0,1498.0,98.6,False,True,True,True,False,False
263,2012,340000,110000,19.3,1248.0,73.9,False,True,True,False,False,False
264,2017,550000,2000,25.4,1186.0,73.97,False,True,True,True,False,False
265,2011,1150000,181000,11.5,2982.0,171.0,False,True,True,True,False,True
266,2016,380000,70000,27.28,1047.0,69.0,False,True,True,False,False,False
267,2013,350000,90000,17.97,1498.0,99.6,True,True,False,True,False,False
268,2019,610000,2000,18.6,1197.0,81.86,True,True,True,False,False,False
269,2015,525000,20000,20.85,1197.0,83.14,True,True,True,False,False,False
270,2011,480000,120000,12.8,2494.0,102.0,False,True,True,False,False,True
271,2017,780000,35000,16.55,2498.0,105.0,False,True,True,False,False,True
272,2012,320000,193000,19.3,1248.0,73.9,False,True,True,False,False,False
273,2014,375000,80000,20.4,1197.0,81.8,True,True,True,False,False,False
274,2019,300000,40000,19.02,1198.0,67.05,True,True,True,False,False,False
275,2015,500000,70000,22.54,1396.0,88.73,False,True,True,False,True,False
276,2011,404000,122358,12.05,2179.0,120.0,False,True,True,False,False,True
277,2015,500000,75000,14.07,2956.0,69.01,False,True,True,False,False,True
278,2017,350000,120000,27.28,1047.0,69.0,False,True,True,False,False,False
279,2015,380000,40000,17.57,1193.0,88.7,True,True,True,False,False,False
280,2008,114999,95200,13.2,1495.0,94.0,True,True,True,False,True,False
281,2014,335000,33033,19.4,1198.0,86.8,True,False,True,False,False,False
282,2015,465000,63063,18.9,1197.0,82.0,True,False,False,False,False,False
283,2012,290000,60000,21.02,1248.0,88.76,False,True,True,False,False,False
284,2005,110000,45000,19.7,796.0,46.3,True,True,True,True,False,False
285,2011,450000,80000,11.57,2179.0,138.1,False,True,True,False,True,True
286,2009,400000,170000,13.6,2523.0,63.0,False,True,True,True,False,True
287,2007,210000,207890,13.6,2523.0,63.0,False,True,True,True,False,True
289,2016,220000,35000,16.8,796.0,34.2,True,True,True,False,False,True
290,2017,450000,35000,18.9,1197.0,82.0,True,True,True,False,False,False
292,2013,290000,50000,16.95,1197.0,78.9,True,True,False,False,False,False
293,2016,520000,20000,20.4,1197.0,81.8,True,True,True,False,False,False
294,2011,265000,20000,16.95,1197.0,78.9,True,True,False,False,False,False
295,2012,330000,50000,18.6,1197.0,85.8,True,True,True,True,False,False
297,2014,509999,120000,15.96,2523.0,62.1,False,True,True,False,False,True
298,2014,500000,70000,17.1,1591.0,121.3,True,True,True,False,False,False
299,2015,525000,50000,17.19,1197.0,81.86,True,True,True,False,False,False
300,2019,675000,16500,21.01,1197.0,81.8,True,True,True,False,False,False
301,2010,300000,70000,17.0,1197.0,80.0,True,True,True,False,False,False
302,2005,90000,99361,19.7,796.0,46.3,True,True,True,True,False,False
303,2017,650000,25000,26.59,1248.0,74.0,False,True,True,False,False,False
304,2014,409000,70000,19.1,1197.0,85.8,True,True,True,True,False,False
305,2015,395000,80000,24.0,1120.0,70.0,False,True,True,True,False,False
307,2014,400000,70000,19.1,1197.0,85.8,True,True,True,True,False,False
308,2012,120000,60000,18.6,1199.0,79.4,True,True,True,False,True,False
309,2018,645000,10000,20.3,1199.0,84.0,True,True,False,False,False,False
310,2006,81000,80000,16.1,796.0,37.0,True,True,True,False,False,False
312,2017,1250000,33000,25.6,1498.0,97.9,False,True,True,False,False,False
313,2013,535000,90000,16.02,1373.0,93.7,True,True,True,False,True,True
314,2014,555000,80100,19.01,1461.0,108.5,False,True,True,True,False,False
315,2014,725000,120000,17.4,1497.0,117.3,True,True,True,False,False,False
317,2016,229999,40000,25.17,799.0,53.3,True,True,True,False,False,False
318,2013,800000,160000,12.99,2494.0,100.6,False,True,True,True,False,True
319,2017,409999,47000,20.51,998.0,67.04,True,True,True,False,False,False
320,2018,1210000,25000,21.38,1396.0,88.7,False,True,True,False,False,False
321,2017,400000,26000,23.84,1199.0,84.0,True,True,True,False,False,False
322,2018,520000,29000,24.0,1186.0,73.97,False,True,True,False,False,False
323,2016,650000,50000,21.4,1197.0,83.1,True,True,False,False,False,False
324,2011,325000,58000,16.1,1298.0,88.2,True,True,True,False,True,False
325,2012,420000,120000,17.4,1197.0,85.8,True,True,False,False,False,False
326,2014,400000,50000,20.4,1197.0,81.8,True,True,True,False,False,False
327,2010,254999,80000,17.0,1197.0,80.0,True,True,True,False,True,False
328,2003,65000,60000,17.3,993.0,60.0,True,True,True,False,True,False
329,2017,351000,36000,23.1,998.0,67.04,True,True,True,False,False,False
330,2007,404000,120000,12.8,2494.0,102.0,False,True,True,False,True,True
331,2011,185000,185000,21.1,1248.0,73.9,False,True,True,False,True,False
332,2011,250000,50000,23.08,1461.0,63.1,False,True,True,False,False,False
333,2002,60000,100000,17.3,993.0,60.0,True,True,True,False,True,False
334,2013,500000,50000,17.1,1591.0,121.3,True,True,True,True,False,False
335,2007,85000,80000,18.2,998.0,67.1,True,True,True,True,False,False
337,2005,85000,80000,19.7,796.0,46.3,True,True,True,False,True,False
338,2011,265000,90000,19.3,1248.0,73.9,False,True,True,False,True,False
339,2010,130000,162000,19.0,998.0,66.1,True,True,True,True,False,False
340,2013,480000,110000,20.77,1248.0,88.76,False,True,True,False,True,True
341,2008,170000,120000,17.8,1248.0,75.0,False,True,True,False,True,False
342,2011,275000,45000,23.08,1461.0,63.1,False,True,True,False,False,False
343,2005,89000,90000,18.9,998.0,67.1,True,True,True,True,False,False
344,2010,170000,90000,20.0,1399.0,68.0,False,True,True,True,False,False
345,2019,1090000,16500,17.0,1197.0,110.0,True,False,True,False,False,False
346,2017,1100000,67000,17.01,1582.0,126.2,False,True,False,False,False,False
347,2018,610000,52000,22.0,1197.0,81.8,True,False,True,False,False,False
348,2016,335000,40000,20.63,1198.0,67.0,True,False,True,False,False,False
349,2015,434999,40000,18.9,1197.0,82.0,True,False,True,False,False,False
351,2018,390000,13000,20.71,799.0,53.26,True,False,True,False,False,False
352,2012,325000,40000,18.5,1198.0,86.8,True,False,True,False,False,False
353,2019,640000,10000,17.0,1198.0,73.75,True,False,True,False,False,False
354,2012,450000,9000,16.95,1498.0,97.7,True,False,True,False,False,False
355,2013,400000,70000,23.59,1364.0,67.06,False,False,True,True,False,False
356,2009,215000,60000,20.36,1197.0,78.9,True,False,True,False,False,False
357,2014,570000,40000,20.45,1461.0,83.8,False,False,True,False,False,False
358,2012,680000,93000,15.1,2179.0,140.0,False,False,True,False,False,True
359,2008,325000,80000,12.8,2494.0,102.0,False,True,True,False,True,True
360,2011,150000,50000,15.64,1193.0,64.08,True,True,True,True,False,False
361,2013,690000,68000,14.5,1797.0,147.5,True,False,False,False,False,False
363,2012,64000,18000,25.4,624.0,37.5,True,False,True,False,False,False
364,2013,250000,120000,23.08,1461.0,63.1,False,True,True,False,False,False
365,2005,65000,35000,18.9,998.0,67.1,True,True,True,False,False,False
366,2016,550000,60000,26.59,1248.0,74.0,False,True,True,True,False,False
367,2010,140000,70000,20.36,1197.0,78.9,True,True,True,False,True,False
368,2016,300000,30000,25.17,799.0,53.3,True,True,True,False,False,False
369,2016,800000,70000,16.34,1798.0,189.3,True,True,False,False,False,False
373,2015,503000,110000,14.1,2179.0,147.94,False,True,True,False,False,True
376,2013,225000,58343,21.79,998.0,67.05,True,False,True,False,False,False
377,2018,740000,38817,27.39,1248.0,74.0,False,False,True,False,False,False
378,2016,550000,56494,18.2,1199.0,88.7,True,False,True,False,False,False
379,2013,750000,79328,12.99,2494.0,100.6,False,False,True,True,False,True
380,2019,650000,5621,22.0,1197.0,81.8,True,False,False,False,False,False
381,2017,625000,25538,16.78,1496.0,88.73,True,False,True,False,False,False
382,2018,600000,69779,22.0,1197.0,81.8,True,False,False,False,False,False
383,2017,450000,56290,24.0,1186.0,73.97,False,False,True,False,False,False
386,2019,779000,7032,19.0,1199.0,88.76,True,False,False,False,False,False
389,2010,150000,106000,20.36,1197.0,78.9,True,True,True,False,True,False
391,2009,500000,120000,11.1,2354.0,158.8,True,True,False,True,False,False
392,2015,480000,90000,26.59,1248.0,74.0,False,True,True,False,False,False
393,2014,535000,70000,22.32,1582.0,126.32,False,True,True,False,True,False
394,2005,250000,240000,12.8,2494.0,102.0,False,True,True,False,True,True
395,2012,300000,100000,21.5,1248.0,88.8,False,True,True,True,False,False
396,2009,340000,214000,13.9,1599.0,103.2,True,True,True,True,False,False
397,2009,340000,214000,16.8,1493.0,110.0,False,True,True,True,False,False
398,2016,240000,50000,22.74,796.0,47.3,True,True,True,False,False,False
399,2018,1085000,1000,18.0,1497.0,117.6,True,True,False,False,False,False
400,2017,750000,19000,28.4,1248.0,74.02,False,True,False,False,False,False
401,2012,95000,265000,17.0,1405.0,70.0,False,True,True,True,False,False
403,2014,215000,80000,23.95,998.0,67.05,True,True,True,True,False,False
404,2016,1290000,50000,16.0,2179.0,140.0,False,True,False,False,False,True
405,2010,150000,80000,20.92,998.0,67.1,True,True,True,False,False,False
406,2013,219000,50000,21.1,814.0,55.2,True,True,True,True,False,False
407,2018,325000,100000,23.84,1199.0,84.0,True,True,True,False,False,False
408,2013,260000,120000,15.1,1196.0,73.0,True,True,True,True,False,False
428,2019,700000,40000,23.8,1498.0,78.9,False,True,False,False,False,False
429,2017,950000,45000,21.38,1396.0,88.7,False,True,True,False,False,False
430,2010,160000,80000,19.7,796.0,46.3,True,True,True,True,False,False
431,2015,409999,135000,24.4,1120.0,71.01,False,True,True,True,False,False
432,2015,840000,120000,12.99,2494.0,100.6,False,True,True,True,False,True
433,2013,450000,67000,23.59,1364.0,67.1,False,True,True,False,False,False
434,2017,900000,50000,28.4,1248.0,74.02,False,True,True,False,False,False
435,2008,570000,134000,12.8,2494.0,102.0,False,True,True,True,False,True
436,2011,254999,110000,23.08,1461.0,63.1,False,True,True,True,False,False
437,2009,130000,40000,16.1,796.0,37.0,True,True,True,False,False,False
438,2013,530000,120000,23.4,1248.0,74.0,False,True,True,True,False,False
439,2015,520000,110000,20.14,1498.0,88.8,False,True,True,True,False,False
440,2011,229999,170000,21.0,1461.0,64.1,False,True,True,True,False,False
441,2004,81000,80000,16.1,796.0,37.0,True,True,True,True,False,False
442,2016,600000,47000,25.2,1248.0,74.0,False,True,True,False,False,False
443,2015,409999,93000,19.1,1197.0,81.86,True,True,True,False,False,False
444,2010,120000,70000,16.1,796.0,37.0,True,True,True,True,False,False
445,2014,320000,50000,23.1,998.0,67.04,True,True,True,False,False,False
446,2015,292000,70000,20.0,1399.0,68.05,False,True,True,False,False,False
447,2012,390000,80000,13.93,2179.0,138.03,False,True,True,False,False,True
448,2016,550000,44000,18.16,1196.0,86.8,True,True,True,False,False,False
449,2014,385000,25000,23.1,998.0,67.04,True,True,True,False,False,False
450,2016,800000,25000,15.29,1591.0,121.3,True,True,True,False,False,False
451,2019,675000,10000,21.21,1197.0,81.8,True,True,True,False,False,False
453,2018,950000,30000,23.0,1498.0,98.96,False,True,True,False,False,False
454,2015,610000,50000,21.19,1396.0,88.73,False,True,True,True,False,False
455,2012,525000,120000,22.54,1396.0,88.73,False,True,True,False,False,False
457,2015,375000,80000,15.96,2523.0,62.1,False,True,True,False,False,True
458,2015,580000,90000,20.45,1461.0,83.8,False,True,True,False,False,False
459,2015,434999,50000,20.4,1197.0,83.11,True,True,True,True,False,False
460,2020,350000,2136,22.5,999.0,67.0,True,True,True,False,False,False
461,2012,730000,250000,12.99,2494.0,100.0,False,True,True,False,False,True
462,2015,600000,35000,18.6,1197.0,81.83,True,True,True,False,False,False
463,2015,1050000,120000,12.99,2494.0,100.6,False,True,True,False,False,True
464,2017,735000,70000,27.39,1248.0,74.0,False,True,True,False,False,False
465,2018,1050000,18000,19.6,1461.0,108.45,False,False,True,False,False,False
466,2016,420000,110000,18.2,1248.0,73.74,False,True,True,True,False,True
467,2017,800000,60000,23.65,1248.0,88.5,False,True,True,False,False,False
469,2016,600000,147000,26.59,1248.0,74.0,False,True,True,True,False,False
471,2011,500000,99500,11.5,1991.0,147.9,False,True,True,False,True,True
472,2011,200000,110000,17.0,1405.0,71.0,False,True,True,True,False,False
473,2016,370000,35000,19.49,1198.0,67.04,True,True,True,False,False,False
474,2010,260000,110000,16.2,1493.0,110.0,False,True,True,True,False,False
475,2016,280000,100000,25.32,1198.0,77.0,False,True,True,False,False,True
476,2014,610000,21000,16.02,1373.0,93.7,True,True,True,False,False,True
477,2013,300000,60000,23.5,1498.0,90.0,False,True,True,True,False,False
478,2010,140000,40000,16.6,1405.0,70.0,False,True,True,False,False,False
479,2008,229999,50000,19.81,1086.0,68.05,True,True,True,False,False,False
