,year,selling_price,km_driven,mileage_kmpl,engine_CC,max_power_bhp,fuel_Petrol,seller_type_Individual,transmission_Manual,owner_Second Owner,owner_Third and above owners,seat_category_more than 5
567,2016,675000,52000,23.65,1248.0,88.5,False,True,True,False,False,False
472,2011,200000,110000,17.0,1405.0,71.0,False,True,True,True,False,False
298,2014,500000,70000,17.1,1591.0,121.3,True,True,True,False,False,False
2906,2011,200000,50600,19.7,796.0,46.3,True,True,True,False,False,False
3634,2013,370000,80000,21.9,1396.0,88.76,False,True,True,False,False,False
2609,2003,55000,167000,18.9,998.0,67.1,True,True,True,True,False,False
2785,2008,112999,80000,19.7,796.0,46.3,True,True,True,False,True,False
6733,2014,200000,55896,25.0,1396.0,69.0,False,True,True,True,False,False
5964,2013,350000,70000,22.07,1199.0,73.9,False,True,True,True,False,False
113,2013,451999,69000,21.9,1396.0,88.76,False,True,True,False,False,False
1557,2009,135000,50000,18.9,1061.0,67.0,True,True,True,True,False,False
7692,2015,425000,60000,24.4,1120.0,71.0,False,True,True,False,False,False
5688,2016,400000,30000,20.51,998.0,67.04,True,True,True,False,False,False
5978,2011,130000,70000,14.0,796.0,35.0,True,True,True,True,False,False
2458,2004,65000,56432,16.1,796.0,37.0,True,False,True,False,False,False
1060,2016,2900000,31000,13.0,2143.0,204.0,False,False,False,False,False,False
6097,2014,500000,120000,20.45,1461.0,83.8,False,True,True,False,False,False
4866,2011,275000,50000,21.12,1248.0,88.8,False,True,True,False,False,False
4384,2016,1950000,45000,16.38,1995.0,183.0,False,False,False,True,False,False
4412,2008,140000,80000,17.92,1086.0,62.1,True,True,True,False,True,False
3551,2008,200000,110000,17.7,1497.0,78.0,True,True,True,True,False,False
3552,2010,250000,100000,17.5,1896.0,106.0,False,True,True,True,False,False
6221,2017,270000,26442,20.3,998.0,68.05,True,True,True,False,False,False
5723,2008,450000,112000,10.5,2609.0,120.0,False,True,True,False,False,True
1215,2017,290000,50000,23.01,999.0,67.0,True,True,True,False,False,False
2925,2010,185000,85568,18.5,1399.0,68.0,False,False,True,False,False,False
2563,2010,180000,120000,17.0,1405.0,71.0,False,True,True,False,False,False
3002,2019,310000,25000,25.17,799.0,53.3,True,True,True,False,False,False
473,2016,370000,35000,19.49,1198.0,67.04,True,True,True,False,False,False
4388,2018,250000,55000,21.9,624.0,37.48,True,False,False,False,False,False
6529,2012,400000,103655,22.32,1582.0,126.3,False,True,True,True,False,False
7800,2011,221000,56000,25.44,936.0,57.6,False,False,True,True,False,False
628,2004,275000,100000,9.0,2997.0,218.0,True,True,False,True,False,False
538,2015,220000,80000,18.2,1199.0,82.4,True,True,True,False,False,False
2412,2005,50000,90000,15.4,1590.0,94.0,True,True,True,True,False,False
5814,2017,509999,20000,22.0,1197.0,81.8,True,True,True,False,False,False
1406,2012,400000,100000,19.3,1248.0,73.9,False,True,True,False,False,False
1427,2011,300000,120000,17.6,1496.0,88.7,True,True,True,False,True,False
157,2014,599000,46100,16.02,1373.0,93.7,True,False,True,False,False,True
4957,2015,600000,31000,25.2,1248.0,74.0,False,True,True,True,False,False
3959,2014,350000,100000,24.0,1120.0,70.0,False,True,True,False,False,False
3895,2010,525000,120000,12.8,2494.0,102.0,False,True,True,True,False,True
3127,2007,240000,110000,18.1,1493.0,110.0,False,True,True,False,False,False
2954,2015,450000,20000,19.1,1197.0,82.0,True,True,True,False,False,False
691,2009,114999,90000,17.92,1086.0,62.1,True,True,True,False,True,False
1397,2020,1560000,20102,13.68,2393.0,147.51,False,False,True,False,False,True
2712,2016,325000,20000,23.95,998.0,67.05,True,True,True,False,False,False
1946,2018,444000,15000,21.1,814.0,55.2,True,True,True,False,False,False
5289,2014,300000,35000,20.52,1197.0,81.8,True,True,True,False,False,False
1927,2015,515000,45000,20.85,1197.0,83.14,True,True,True,True,False,False
559,2018,550000,14200,18.16,1196.0,86.8,True,True,True,False,False,False
1818,2013,500000,70000,15.96,2523.0,63.0,False,True,True,False,False,True
2055,2003,50000,147000,18.9,998.0,67.1,True,True,True,False,True,False
5377,2016,550000,80000,19.64,1461.0,108.45,False,True,True,True,False,False
3495,2013,450000,108800,22.9,1248.0,74.0,False,True,True,False,True,False
3300,2012,285000,69000,17.5,1298.0,85.8,True,True,True,False,False,False
818,2009,101000,90000,19.7,796.0,35.0,True,True,True,False,True,True
7125,2010,235000,100000,13.93,2179.0,138.1,False,True,True,True,False,True
1217,2013,80000,30000,25.4,624.0,37.48,True,True,True,False,False,False
2261,2015,509999,90000,24.4,1120.0,71.01,False,True,True,False,False,False
1506,2017,550000,60000,24.0,1186.0,73.97,False,True,True,False,False,False
1742,2008,110000,80000,19.7,796.0,46.3,True,True,True,True,False,False
2281,2011,280000,120000,13.6,2523.0,63.0,False,True,True,False,False,True
4583,2014,160000,90000,25.0,1396.0,69.0,False,True,True,False,False,False
4454,2006,130000,74000,13.7,1948.0,68.0,False,True,True,False,False,True
6423,2017,250000,20000,23.95,998.0,67.05,True,True,True,False,False,False
4074,2015,670000,60000,25.1,1498.0,98.6,False,True,True,False,False,False
2817,2016,650000,80000,19.72,1461.0,108.45,False,True,True,False,False,False
5535,2010,245000,185000,16.2,1493.0,110.0,False,True,False,False,True,False
6460,2015,250000,26500,22.74,796.0,47.3,True,True,True,False,False,False
1515,2012,550000,180000,15.96,2523.0,62.1,False,True,True,False,True,True
115,2020,475000,13000,21.63,998.0,67.04,True,True,True,False,False,False
1569,2016,675000,28182,14.3,1598.0,103.52,True,False,False,False,False,False
7187,2007,90000,70000,18.2,998.0,67.1,True,True,True,False,False,False
6601,2013,450000,60000,18.2,1248.0,73.8,False,True,True,False,False,True
6764,2014,229999,30000,22.74,796.0,47.3,True,True,True,True,False,False
5387,2007,375000,110000,12.7,2609.0,116.6,False,True,True,False,True,True
1038,2011,800000,60000,12.8,2494.0,102.0,False,True,True,False,False,True
365,2005,65000,35000,18.9,998.0,67.1,True,True,True,False,False,False
7059,2013,345000,120000,18.5,1197.0,82.85,True,True,True,True,False,False
2778,2010,300000,108957,13.93,2179.0,138.0,False,True,True,False,False,True
2337,2009,240000,120000,17.5,1298.0,85.8,True,True,True,False,False,False
8086,2018,470000,30000,23.1,998.0,67.04,True,True,False,False,False,False
6911,2009,180000,87000,13.2,1495.0,94.0,True,True,True,True,False,False
2793,2007,250000,60000,16.6,1197.0,85.0,True,True,True,False,False,False
2264,2011,130000,67840,18.0,995.0,62.0,True,True,True,False,False,False
5326,2012,350000,120000,21.5,1248.0,88.8,False,True,True,True,False,False
2107,2015,590000,110000,27.39,1248.0,74.0,False,True,True,False,False,False
3598,2018,750000,40000,25.1,1248.0,88.5,False,True,True,False,False,False
7242,2017,690000,40000,25.32,1198.0,77.0,False,True,True,False,False,True
821,2012,244000,38000,21.1,814.0,55.2,True,True,True,False,False,False
864,2017,420000,110000,24.7,1047.0,69.0,False,True,True,False,False,False
313,2013,535000,90000,16.02,1373.0,93.7,True,True,True,False,True,True
7257,2017,660000,60000,16.5,1493.0,70.0,False,True,True,True,False,True
5762,2008,100000,120000,19.09,1396.0,69.0,False,True,True,False,True,False
335,2007,85000,80000,18.2,998.0,67.1,True,True,True,True,False,False
5609,2015,300000,45000,21.1,814.0,55.2,True,True,True,False,False,False
2998,2010,300000,60000,17.5,1197.0,85.8,True,True,True,True,False,False
6252,2017,860000,80000,28.09,1248.0,88.5,False,True,True,False,False,False
6384,2008,190000,180000,17.8,1399.0,67.0,False,True,True,True,False,False
4318,2014,350000,80000,18.9,1197.0,82.0,True,True,True,False,True,False
7279,2016,591000,60000,21.49,1498.0,108.5,False,False,True,False,False,False
4586,2017,590000,70000,25.8,1498.0,98.6,False,True,True,True,False,False
2125,2014,335000,71000,21.64,1461.0,84.8,False,False,True,False,False,False
7246,2016,370000,58000,15.37,1196.0,73.0,True,True,True,True,False,True
6815,2019,500000,20000,19.44,999.0,75.0,True,True,True,False,False,False
204,2017,550000,50000,20.85,1197.0,83.14,True,True,True,False,False,False
75,2015,1700000,78000,12.55,2982.0,168.5,False,True,True,True,False,True
4386,2018,500000,31000,23.01,999.0,67.0,True,False,True,False,False,False
805,2008,150000,70000,17.7,1497.0,78.0,True,True,True,False,True,False
478,2010,140000,40000,16.6,1405.0,70.0,False,True,True,False,False,False
1209,2010,210000,100000,20.0,1399.0,68.0,False,True,True,True,False,False
2243,2011,300000,138000,17.0,1197.0,80.0,True,True,True,False,True,False
3916,2011,350000,120000,19.3,1248.0,73.9,False,True,True,True,False,False
5144,2005,110000,90000,19.7,796.0,46.3,True,True,True,True,False,False
834,2015,615000,80000,22.77,1498.0,98.59,False,True,True,False,False,False
7354,2008,45000,60000,16.8,1405.0,68.0,False,True,True,True,False,False
5976,2011,150000,50000,18.5,1399.0,68.0,False,True,True,False,False,False
5931,2015,500000,20000,17.57,1193.0,88.7,True,True,True,False,False,False
6875,2014,700000,145241,12.05,2179.0,120.0,False,True,True,False,False,True
3384,2017,380000,29000,20.51,998.0,67.0,True,True,False,False,False,False
4038,2009,140000,120000,19.09,1396.0,69.0,False,True,True,False,True,False
7449,2018,750000,15000,17.0,1198.0,108.5,True,True,True,False,False,False
7691,2006,65000,198000,18.9,998.0,67.1,True,True,True,True,False,False
6362,2016,620000,28180,23.65,1248.0,88.5,False,False,True,False,False,False
4930,2002,40000,80000,16.1,796.0,37.0,True,True,True,False,False,False
1413,2015,335000,30000,20.51,998.0,67.04,True,True,True,False,False,False
1885,2009,165000,60000,19.0,998.0,67.1,True,True,True,False,False,False
1289,2014,420000,90000,24.4,1120.0,71.01,False,True,True,True,False,False
3904,2016,925000,48000,16.0,2179.0,140.0,False,True,True,True,False,True
4912,2014,400000,100000,19.1,1197.0,85.8,True,True,True,True,False,False
4057,2017,500000,80000,23.08,1461.0,63.1,False,True,True,True,False,False
4139,2017,700000,70000,25.83,1498.0,99.0,False,True,True,False,False,False
5832,2008,155000,120000,17.7,1497.0,78.0,True,True,True,True,False,False
5325,2014,570000,70000,25.2,1248.0,74.0,False,True,True,True,False,False
1163,2015,350000,90000,23.2,1248.0,73.94,False,True,True,False,False,False
4886,2016,220000,22000,21.9,624.0,37.48,True,True,False,False,False,False
5664,2013,750000,110000,15.1,2179.0,140.0,False,True,True,True,False,True
1893,2004,170000,160000,13.1,1493.0,82.0,False,True,True,False,True,False
6841,2016,470000,70000,18.6,1197.0,81.83,True,True,True,False,False,False
549,2017,775000,32000,24.3,1248.0,88.5,False,False,True,False,False,False
5977,2007,55000,70000,15.9,1298.0,85.0,True,True,True,False,True,False
7088,2013,450000,24019,22.9,1248.0,74.0,False,True,True,False,False,False
376,2013,225000,58343,21.79,998.0,67.05,True,False,True,False,False,False
3017,2013,175000,76000,25.44,936.0,57.6,False,True,True,False,False,False
5070,2017,390000,70000,15.37,1196.0,73.0,True,True,True,False,False,False
1017,2019,1100000,10000,17.0,1591.0,121.3,True,True,True,False,False,False
1234,2004,55000,90000,16.8,1405.0,62.0,False,True,True,False,True,False
51,2013,1090000,151000,13.5,2477.0,175.56,False,False,True,False,False,True
6296,2017,1750000,98000,13.68,2393.0,147.51,False,False,True,False,False,True
6983,2015,509999,100000,23.59,1364.0,67.05,False,True,True,True,False,False
1568,2016,600000,6757,21.01,1197.0,81.8,True,False,True,False,False,False
500,2016,660000,34000,17.5,1373.0,91.1,True,True,True,True,False,True
3075,2014,215000,50000,21.1,814.0,55.2,True,True,True,False,False,False
1255,2012,1400000,50000,14.84,2143.0,170.0,False,True,False,False,False,False
1678,2012,170000,40000,21.1,814.0,55.2,True,True,True,False,False,False
4510,2012,135000,49000,25.44,936.0,57.6,False,True,True,False,True,False
3786,2008,180000,44391,19.81,1086.0,68.05,True,True,True,True,False,False
4169,2017,650000,21000,22.0,1197.0,81.8,True,True,True,False,False,False
2977,2014,700000,300000,12.99,2494.0,100.6,False,True,True,True,False,True
4303,2011,335000,15000,17.5,1298.0,85.8,True,True,True,False,False,False
3758,2012,570000,77000,15.1,2179.0,140.0,False,False,True,True,False,True
5851,2009,150000,75000,15.0,1368.0,90.0,True,True,True,True,False,False
4128,2008,65000,50000,15.3,1396.0,70.0,True,True,True,True,False,False
3155,2011,250000,25000,15.6,1196.0,70.0,True,True,True,False,False,False
1249,2017,595000,120000,15.4,1497.0,117.3,True,True,True,False,False,True
951,2003,85000,120000,20.8,1527.0,58.0,False,True,True,False,True,False
5299,2016,350000,30000,23.84,1199.0,84.0,True,True,True,False,False,False
7739,2015,550000,70000,18.6,1197.0,81.83,True,True,True,False,False,False
3676,2013,200000,80000,21.1,814.0,55.2,True,True,True,False,False,False
4835,2011,300000,120000,11.57,2179.0,138.1,False,True,True,True,False,True
1505,2017,350000,27000,23.95,998.0,67.05,True,True,True,False,False,False
6318,2010,180000,80000,21.12,1248.0,88.8,False,True,True,False,False,False
2936,2015,615000,32000,26.59,1248.0,74.0,False,True,True,False,False,False
3860,2010,225000,120000,19.3,1248.0,73.9,False,True,True,True,False,False
7511,2007,245000,120000,18.1,1493.0,110.0,False,True,True,True,False,False
5707,2015,110000,15000,25.4,624.0,37.5,True,True,True,False,False,False
5701,2011,215000,40000,20.36,1197.0,78.9,True,True,True,True,False,False
6790,2017,650000,35000,27.39,1248.0,74.0,False,True,True,True,False,False
1306,2013,450000,120000,23.4,1248.0,74.0,False,True,True,True,False,False
1941,2012,320000,70000,16.95,1498.0,97.7,True,True,True,True,False,False
877,2014,480000,120000,14.02,2179.0,118.3,False,True,True,True,False,True
7634,2015,700000,22700,18.7,1199.0,88.7,True,True,True,False,False,False
202,2014,290000,60000,19.4,1198.0,86.8,True,True,True,True,False,False
7794,2015,550000,50000,28.09,1248.0,88.5,False,False,True,True,False,False
5446,2016,710000,71000,27.39,1248.0,74.0,False,True,True,False,False,False
6793,2015,950000,75262,15.4,2179.0,120.0,False,True,True,False,False,True
2008,2014,425000,80000,15.11,1598.0,103.6,False,True,True,True,False,False
1760,2008,160000,100000,13.9,1599.0,103.2,True,True,True,False,True,False
3714,2005,160000,220000,14.8,2499.0,80.0,False,True,True,False,False,True
831,2007,95000,100000,17.8,1086.0,63.0,True,True,True,True,False,False
3026,2008,105000,110000,17.7,1497.0,78.0,True,True,True,True,False,False
2692,2018,680000,120000,28.4,1248.0,74.02,False,True,True,False,False,False
1370,2017,950000,54470,15.4,2179.0,120.0,False,False,True,False,False,True
7584,2004,110000,120000,14.4,1599.0,94.0,True,True,True,False,True,False
3392,2019,1630000,25000,17.0,1956.0,138.1,False,True,True,False,False,False
2078,2016,800000,36000,19.01,1461.0,108.5,False,True,True,False,False,False
2169,2013,520000,110000,12.05,2179.0,120.0,False,True,True,False,False,True
6483,2019,695000,20000,17.4,1197.0,81.86,True,True,False,False,False,False
3918,2010,150000,70000,19.09,1396.0,69.0,False,True,True,True,False,False
3951,2011,270000,30000,19.0,998.0,67.1,True,True,True,False,False,False
7617,2019,300000,35000,23.01,999.0,67.0,True,True,True,False,False,False
546,2015,390000,40000,20.51,998.0,67.04,True,True,True,False,False,False
7501,2013,470000,150000,23.4,1248.0,74.0,False,True,True,False,False,False
509,2016,561000,30000,26.59,1248.0,74.0,False,True,True,False,False,False
3937,2015,330000,140000,26.59,1248.0,74.0,False,True,True,True,False,False
102,2019,615000,10000,21.21,1197.0,81.8,True,True,True,False,False,False
3939,2018,750000,25000,17.0,1198.0,108.5,True,True,True,False,False,False
6143,2016,570000,112879,23.0,1498.0,98.96,False,False,True,True,False,False
4120,2008,114999,55000,13.9,1599.0,103.2,True,True,True,True,False,False
33,2018,730000,2388,18.6,1197.0,81.83,True,True,True,False,False,False
890,2016,625000,90000,15.96,2523.0,62.1,False,True,True,True,False,True
3375,2014,500000,50000,13.58,2499.0,72.4,False,True,True,False,False,True
6440,2014,600000,82500,15.96,2523.0,62.1,False,True,True,True,False,True
4706,2016,1385000,60000,13.68,2393.0,147.8,False,False,True,True,False,True
7426,2015,944999,41000,15.1,2179.0,140.0,False,True,True,False,False,True
6317,2019,521000,3010,20.3,1086.0,68.0,True,True,False,False,False,False
2010,2015,250000,80000,19.09,1405.0,69.01,False,True,True,True,False,False
1788,2014,560000,132000,19.72,1461.0,108.45,False,True,True,True,False,False
1303,2014,511000,100000,23.4,1248.0,74.0,False,True,True,False,False,False
107,2017,866000,37800,17.0,1591.0,121.3,True,True,True,False,False,False
5430,2019,1450000,10000,17.3,1497.0,121.0,False,True,True,False,False,True
5293,2013,300000,40000,20.36,1197.0,78.9,True,True,True,False,False,False
5065,2012,270000,40000,18.9,998.0,67.1,True,True,True,False,False,False
1669,2016,650000,50000,26.59,1248.0,74.0,False,True,False,True,False,False
4376,2018,700000,63000,15.3,2956.0,83.83,False,True,True,False,False,True
2252,2011,130000,100000,19.7,796.0,46.3,True,True,True,True,False,False
5037,2018,640000,25000,22.0,1197.0,81.8,True,True,False,False,False,False
6610,2014,509999,70000,15.96,2523.0,62.1,False,True,True,True,False,True
